"timestamp","title","price","market","surface","location","remote_support","lighting","advertiser_type","description","no_of_rooms","form_of_property","url","is_for_sale","posting_id"
"2023-09-04","mieszkanie 40,93m2 2-pokoje Apartamenty SOHO","225100","market,primary","40.93","ul. Mikołaja Kopernika, Koźmin Wielkopolski, Koźmin Wielkopolski, krotoszyński, wielkopolskie","null","null","developer","
IV ETAP INWESTYCJI ""APARTAMENTY SOHO""Zapraszamy Państwa do zapoznania się z ofertą naszej kolejnej inwestycji w Koźminie Wielkopolskim.Na ul. Kopernika rozpoczynamy realizację czwartego z pięciu kameralnych budynków mieszkalnych tworzących razem Osiedle APARTAMENTY SOHO. Nowoczesna i atrakcyjna architektura oraz starannie zaprojektowane mieszkania tworzą funkcjonalną i komfortową przestrzeń. Duże okna zapewniają naturalne oświetlenie pomieszczeń . Oferowany standard wykończenia znacznie przewyższa podobne propozycje rynkowe, a zastosowane materiały cechują inwestycje wysoką jakością.Dla wygody mieszkańców zostanie zainstalowana cichobieżna winda oraz dostępne będą komórki lokatorskie, a całe osiedle będzie monitorowane.
Budynek będzie zarządzany przez wspólnotę mieszkaniową-niski miesięczny koszt utrzymania.-ogrzewanie gazowe.
Zapewniamy pełną obsługę prawną jak i pomoc w uzyskaniu kredytu hipotecznego na zakup bądź remont nieruchomości.
Zgodnie z wymogami ustawy o ochronie praw nabywcy lokalu mieszkalnego zapewniamy:-umowę deweloperską z prospektem informacyjnym-rachunek powierniczyPlanowany termin realizacji inwestycji to IV kwartał 2023

O nasLOKALNY DEWELOPER ,GLOBALNE ZASADYOd 2015 roku działamy na lokalnym rynku nieruchomości. To właśnie tu kreujemy budynki odzwierciedlające marzenia i oczekiwania swoich klientów. Dzięki skrupulatnej i rzetelnej pracy każdego z członków zespołu, powstają mieszkania o unikalnym designie, które odznaczają się funkcjonalnością i komfortem użytkowania. WYPRRACOWANE STANDARDYUtrzymujemy partnerskie relacje z naszymi pracownikami oraz podwykonawcami, dlatego od wielu lat współpracujemy wyłącznie z zaufanymi specjalistami. To właśnie dzięki tym osobom, ich starannej pracy oraz doświadczeniu budowlanemu oddajemy inwestycję w zaplanowanym terminie, pozwalając przyszłym mieszkańcom na terminową realizację prac wykończeniowych, dokładnie tak, jak sami byśmy tego oczekiwali.LOKALIZACJE TĘTNIĄCE ŻYCIEMWszystkie nasze planowane i zrealizowane inwestycje znajdują się blisko centrum miasta, gdzie doskonale skomunikowana inwestycja otoczona jest terenami zielonymi, placami zabaw, sklepami czy miejscami tętniącymi wielkomiejskim życiem towarzyskim. Możesz być pewien, że zawsze będziesz w centrum wydarzeń, a to co jest dla Ciebie najważniejsze znajdziesz na osiedlu lub tuż za rogiem. Funkcjonalność, układ naszych mieszkań i ich lokalizacja spełnią potrzeby zarówno rodzin z dziećmi jak i wymagających singli. Zakup mieszkania w Soho Investments to również doskonała okazja na inwestycję i pomnażanie swojego kapitału.PEWNA INWESTYCJAZakup mieszkań na naszych osiedlach to bezpieczna i pewna inwestycja, która stale będzie zyskiwać na swojej wartości. Wybierając rzetelnego i dbającego o potrzeby mieszkańców dewelopera otrzymasz gwarancję nie tylko doskonałej inwestycji, ale również możliwość spełnienia marzeń o ciepłym, rodzinnym i bezpiecznym domu. Skontaktuj się z naszym doradcą i wybierz najbardziej dogodne dla Ciebie mieszkanie.Biuro sprzedaży:Ul.Wrocławska 51/163-200 Jarocin","2","pełna własność","https://otodom.pl/pl/oferta/mieszkanie-41-47m2-2-pokoje-apartamenty-soho-ID4hLXi","true","4hLXi"
"2023-09-04","Apartament 200m2","599000","market,primary","200","ul. Kazimierza Pułaskiego, Radzymin, Radzymin, wołomiński, mazowieckie","null","null","private","SPRZEDAŻ BEZPOŚREDNIO 
Kameralne osiedle bezczynszowych lokali położonych w Radzyminie przy ul. Kazimierza Pułaskiego. Przy osiedlu znajduje się przystanek autobusowy co pozwala na szybką komunikację z centrum.
Nowoczesna architektura oraz wysoka jakość użytych materiałów to główne zalety tej inwestycji.
-  salon z aneksem kuchennym (33,37 m2) 
-  trzy pokoje (10,83 m2, 12,25 m2, 13,90m2)
-  łazienka (4,75 m2),
- wc (2,43m2)
-  wiatrołap (*4,15 m2)
- hol (12,94m2) 
Lokal na piętrze (100 m2 +100m2 poddasza)

W cenie nieruchomości DWA miejsca parkingowe.+ ogródek 
Lokal w stanie deweloperskim z ogrzewaniem podłogowym, rozprowadzona instalacja wod-kan, c.o. , elektryczna, gazowa, TV-sat, internet, domofon, okablowanie pod alarm.
Wszystkie media miejskie (kanalizacja, gaz, woda, prąd ).
","5","pełna własność","https://otodom.pl/pl/oferta/apartament-200m2-ID4hFmX","true","4hFmX"
"2023-09-04","Apartament 50m od plaży w Juracie! 1 linia !","3244000","market,secondary","70.53","Mestwina, Jurata, Jastarnia, pucki, pomorskie","null","null","agency","Jeśli marzą Państwo o luksusowym apartamencie, w którym codziennie będziecie mogli podziwiać zachód słońca i słuchać szumu morza, to Jurata jest miejscem, które spełni Państwa marzenia!!!OPIS INWESTYCJI:Ta wyjątkowa inwestycja położona jest w słynnym, prestiżowym kurorcie Jurata na Półwyspie Helskim, 50m od brzegu Zatoki Puckiej, w pobliżu wydm, plaży, charakterystycznego molo i promenady. Nieruchomość oferuje mieszkańcom i ich gościom niesamowity widok na morze oraz świeże powietrze pełne jodu.Budynek ma cztery kondygnacje i zaprojektowany został w nowoczesnym, modernistycznym stylu, wyposażony w cichobieżne windy oraz podziemną halę garażową. W budynku znajduje się 29 wyjątkowych apartamentów wykończonych pod klucz, o różnych powierzchniach, począwszy od 47,37 m² do 105,15 m². Dzięki panoramicznym oknom, z każdego apartamentu można podziwiać piękny widok na morze i cieszyć się naturalnym światłem wpadającym do wnętrza.Wszystkie apartamenty posiadają przestronne tarasy z widokiem na morze i są wykończone z wysokiej jakości materiałów. Każdy apartament ma również swoje miejsce postojowe, a wybrane lokale posiadają także komórki lokatorskie. To wyjątkowa inwestycja na mapie nadmorskich nieruchomości, która zachwyci każdego, kto szuka wyjątkowego i luksusowego miejsca do życia lub wypoczynku.OPIS LOKALU:Niniejsza oferta dotyczy 3-pokojowego apartamentu o pow. 70,53m2, położonego na parterze. Składa się z przestronnego salonu połączonego z aneksem kuchennym (25,70m2), sypialni głównej z łóżkiem małżeńskim (11,85m2), sypialni gościnnej z dwoma osobnymi łóżkami (11,69m2), łazienki z wanną (4,84m2), łazienki z prysznicem (3,48m2), garderoby (3,06m2), hallu (10,01m2) oraz obszernego tarasu (27,05m2), z którego rozpościera się kojący widok na wydmy i morze. Przestrzeń salonu podzielono na strefę wypoczynkową z wygodną kanapą z funkcją spania i fotelami, aneks kuchenny, jadalnię z okrągłym stołem oraz wyjściem na taras. W apartamencie znajduje się także garderoba, która zapewnia odpowiednią ilość przestrzeni do przechowywania odzieży i niezbędnych akcesoriów. Apartament został wykończony z użyciem wysokiej jakości materiałów: podłogi drewniane, aneks kuchenny wyposażony w niezbędne sprzęty AGD (zmywarka, czajnik elektr. lodówka, ekspres do kawy, płyta indukcyjna), kamienne blaty, system klimatyzacji. Zaprojektowany został tak, aby sprostać najbardziej wymagającym mieszkańcom.Nieocenionym atutem nieruchomości jest otaczający ją piękny teren zielony z charakterystycznymi sosnami, który dostępny jest wyłącznie dla mieszkańców. To miejsce stanowi oazę spokoju i ciszy, w której można cieszyć się odprężającą atmosferą i słuchać szumu drzew oraz morskiej bryzy przez cały dzień.INF. DODATKOWE:W ofercie sprzedaży mamy ostatnie wolne apartamenty:Parter, 3 pokoje, 70,53m2, cena 3.244.000złParter, 2 pokoje, 47,04m2, cena 1.975.000złParter, 2 pokoje, 51,05m2, cena 2.297.000złI piętro, 2 pokoje, 47,16m2, cena 2.027.000złI piętro, 2 pokoje, 50,50m2, cena 2.171.000złI piętro, 3 pokoje, 70,45m2, cena 3.099.000złII piętro, 3 pokoje, 70,66m2, cena 3.179.000złII piętro, 3 pokoje, 77,66m2, cena 3.883.000złII piętro, 4 pokoje, 104,28m2, cena 5.005.000złPowyższe ceny są cenami netto + 23% VatOferta ta skierowana jest zarówno dla osób szukających apartamentu jako second-home w prestiżowym miejscu, jak i dla inwestorów chcących czerpać korzyści zarobkowe z wynajmu krótkoterminowego. LOKALIZACJA/ATRAKCJE REGIONUJurata to popularne miejsce turystyczne, które przyciąga zarówno na rodzinne wakacje, jak i romantyczne weekendy. Charakteryzuje się spokojnymi uliczkami, licznymi sklepami, restauracjami i kawiarniami, które oferują tradycyjne polskie smaki i dania kuchni międzynarodowej.Miłośnicy sportów wodnych mają do wyboru windsurfing, kitesurfing, pływanie kajakiem oraz nurkowanie w Morzu Bałtyckim. Z kolei miłośnicy wędrówek i aktywnego wypoczynku mogą wybrać się na wycieczkę pieszą lub rowerową wzdłuż wybrzeża, podziwiając piękne krajobrazy i miejsca związane z historią regionu.W okolicy Juraty warto odwiedzić Półwysep Helski z Mierzeją Helską, która jest jednym z najpiękniejszych półwyspów w Polsce i oferuje liczne atrakcje turystyczne. Jest to także idealne miejsce dla osób ceniących ciszę i spokój, które chcą odpocząć od miejskiego zgiełku i skorzystać z uroków przyrody.——————————————KONTAKT:Monika Baranowska: +48 793 101 411 (licencja zawodowa nr 24529)Pośrednik odpowiedzialny: Joanna Czapska (licencja zawodowa nr 4585)Przedstawiona wyżej oferta nie jest ofertą handlową w rozumieniu przepisów prawa, lecz ma charakter informacyjny. Partners International dokłada starań, aby treści przedstawione w naszych ofertach były aktualne i rzetelne. Dane dotyczące ofert uzyskano na podstawie oświadczeń Sprzedających.——————————————CONTACT:Monika Baranowska: +48 793 101 411 (professional license No. 24529)Broker responsible: Joanna Czapska (professional license No. 4585)Outlined above proposal is not a commercial offer for the purposes of the law but is informative. All data relating to real estate was obtained on the basis statements of the Sellers.——————————————","3","pełna własność","https://otodom.pl/pl/oferta/apartament-50m-od-plazy-w-juracie-1-linia-ID4kWeB","true","4kWeB"
"2023-09-04","Mieszkanie, 100 m², Tczew","759000","market,secondary","100","ul. Żeglarska, Tczew, tczewski, pomorskie","null","null","agency","!!OBNIŻKA- BYŁO 819 TYŚ. JEST 759 TYŚ.!!Apartament dla wymagającego Klienta.Z przyjemnością przedstawiamy Państwu niepowtarzalny, komfortowy apartament, który został stworzony od podstaw z wysublimowanym smakiem nadając mu indywidualny charakter.Powierzchnia tego pięknego wnętrza to około 100 m2, na którą składa się: przestronny salon, nowoczesny aneks kuchenny z ogromną wyspą roboczą i dużym stołem jadalnianym, sypialnia klimatyzowana z częścią wypoczynkową, w której znajdziemy saunę a także salon łazienkowy z wanną i prysznicem, garderoba a także wygodny przedpokój i łazienka gościnna.Całość wykończona materiałami i sprzętami wysokiej klasy, z dużą dbałością o szczegóły. Między innymi: piękne obszerne szafy ubraniowe, funkcjonalna i elegancka zabudowa w kuchni oraz w łazienkach. Drzwi zewnętrze o podwyższonej jakości- antywłamaniowe.Duże okna doskonale doświetlają piękne wnętrze, z których rozciąga się niepowtarzalny widok na Most Lisewski i Wisłę.Do mieszkania przypisany  jest garaż w podpiwniczeniu budynku o pow. 53 m2, w którym znalazło się miejsce na własną siłownię, naziemne miejsce parkingowe  oraz 3 komórki lokatorskie. Kolejnym atutem nieruchomości jest przede wszystkim bliskość terenów zielonych i rekreacyjnych. W sąsiedztwie Park, Tczewski Bulwar na wyciągniecie ręki to miejsca idealne do uprawiania sportów i relaksujących spacerów. Oferta godna polecenia. Zapraszamy na prezentację.Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","2","pełna własność","https://otodom.pl/pl/oferta/apartament-widok-na-wisle-sauna-silownia-klima-ID4dm65","true","4dm65"
"2023-09-04","Mieszkanie, 40,70 m², Jelenia Góra","339000","market,secondary","40.7","Staniszów, Podgórzyn, karkonoski, dolnośląskie","null","null","agency","Do sprzedaży 2-pokojowe mieszkanie blisko centrum Jeleniej Góry. Lokal o powierzchni ok.41m2 znajduje się na  parterze w kamienicy i składa się z dwóch słonecznych pokoi,  kuchni z nowoczesna zabudową, łazienki razem z WC oraz przedpokoju. Mieszkanie przeszło kapitalny remont wymienione wszystkie instalacje okna PCV, drzwi antywłamaniowe, na ścianach gładzie i płytki, na podłogach panel i gres. Ogrzewanie podłogowe i ciepła woda z pieca gazowego, czynsz administracyjny 280 złotych. Do mieszkania przynależy również komórka lokatorska ok. 7m2. Budynek monitorowany posiada zainstalowane kamery na zewnątrz oraz na klatce schodowej, w podwórzu teren zielony do dyspozycji.Jest to doskonała oferta zarówno do zamieszkania jak pod inwestycję. Idealna lokalizacja blisko obiektów użyteczności publicznej, sklepów, przystanków MZK.Serdecznie polecam i zapraszam na prezentację. Leszek Środecki 790-418-318  ::DODATKOWE INFORMACJE Rodzaj budynku: kamienica wolnostojącaDozór budynku: monitoringPlac zabaw: TAKGaz: tak - miejskiWoda: piec gazowy dwufunkcyjnyDojazd: asfaltOtoczenie: domy jednorodzinneOgrzewanie: podłogoweInternet: TAKNadaje się na biuro: TAKKomunikacja publ.: MZK, PKS, PKPOdległość do komunikacji publicznej [m]: 200Odl. do sklepu [m]: 350Odl. do szkoły [m]: 1800Rozkład: dwustronne rozkładoweUsytuowanie: dwustronneOpłaty w czynszu: zaliczka na fundusz remontowy, wywóz śmieci, sprzątanie, Części wspólne, administracjaOpłaty wg liczników: woda, prąd, gaz, CORodzaj mieszkania: jednopoziomoweStan lokalu: Do wprowadzeniaOkna: PCVInstalacje: wymienioneBalkon: brakPowierzchnia użytkowa [m2]: 40,7000Liczba pokoi: 2Wysokość pomieszczeń [m]: 2,7000Liczba sypialni: 1Podłogi pokoi: paneleŚciany pokoi: gładzie gipsoweTyp kuchni: jasna z oknemRodzaj kuchni: z nowoczesną zabudową kuchennąPodłoga kuchni: kafleTyp łazienki: razem z wcLiczba łazienek: 1Glazura łazienki: nowego typuPodłoga łazienki: kafleWyposażenie łazienki: wannaŚciany łazienki: glazuraLiczba przedpokoi: 1Podłoga przedpokoi: kafleŚciany przedpokoi: gładzie gipsowe::KONTAKT DO AGENTA Leszek Środecki 75 64 54 44 44 wew 41790 418 318::DANE BIURA Marles Leszek Środecki1 Maja 6058-500 Jelenia Góra75 64 54 444Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Leszek Środecki  (licencja nr: 13045) ","2","pełna własność","https://otodom.pl/pl/oferta/mieszkanie-40-70-m-jelenia-gora-ID4lSVf","true","4lSVf"
"2024-02-20","Kameralny zakątek blisko wszędzie 2 pokoje 55 m2 M","660000","market,secondary","55","Mysiadło, Lesznowola, piaseczyński, mazowieckie","null","null","agency","Jeśli chcesz mieszkać w zielonej okolicy lecz z dogodnym dostępem do stolicy to ta oferta będzie dla Ciebie bardzo insertująca.Dwupokojowe mieszkanie o powierzchni 55 m2 położone na II pietrze trzypiętrowego budynku z 2006 r. Kameralne, zamknięte i strzeżone osiedle oddalone jest, od przystanku autobusowego linii miejskiej i co ważne I strefy biletowej, o 300 m.Do nowoczesnej szkoły podstawowej dotrzesz pieszo pokonując dystans 800 m. Centrum handlowe Auchan oddalone o 500 m. Do stacji PKP Nowa Iwiczna 1,5 km.Mieszkanie składa się z:-Salonu z wyjściem na balkon-Widnego aneksu kuchennego-Sypialni-Łazienki z wanną-PrzedpokojuStworzenia dodatkowego pokoju jak najbardziej wykonalne.Do mieszkania należą dodatkowo płatne następujące nieruchomości:miejsc e postojowe w garażu podziemnym 30.000 PLNmiejsce postojowe na parkingu naziemnym 15.000 PLNkomórka lokatorska 15.000 PLNZapraszam do prezentacji.Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","2","pełna własność","https://otodom.pl/pl/oferta/kameralny-zakatek-blisko-wszedzie-2-pokoje-55-m2-m-ID4n5Li","true","4n5Li"
"2024-02-20","Wykończone mieszkanie, gotowe do zamieszkania!","395000","market,secondary","33.72","ul. Saperów 12, Kazuń Nowy, Czosnów, nowodworski, mazowieckie","null","null","agency","Z dumą prezentujemy na sprzedaż urokliwe mieszkanie o powierzchni 33,72m2, zlokalizowane na drugim piętrze nowoczesnego budynku w Nowym Kazuniu przy ul. Saperów 12. To idealna propozycja dla tych, którzy cenią sobie komfort, spokój i bliskość natury, jednocześnie mając dostęp do wszystkich udogodnień Warszawy.

Lokalizacja: Mieszkanie znajduje się w bliskiej odległości od Warszawy, zapewniając równowagę między zgiełkiem miejskim a sielankowym spokojem Nowego Kazunia. Okolica obfituje w zieleń, co sprawia, że spacer po okolicy staje się prawdziwą przyjemnością. Na osiedlu dostępny jest sklep spożywczy, co znacznie ułatwia codzienne zakupy.

Charakterystyka Mieszkania:

Powierzchnia: 33,72m2
Piętro: 2 z 2
Rok budowy: 2023
Stan techniczny: Mieszkanie zostało całkowicie wykończone i wyposażone, co gwarantuje nowoczesne i komfortowe warunki mieszkalne.
Układ pomieszczeń: 2 pokoje

Kuchnia z salonem: 18,64m2
Sypialnia: 8,74m2
Łazienka: 3,40m2
Korytarz: 2,94m2
Balkon: 4,05m2



Dodatkowe Udogodnienia:

Miejsce postojowe w garażu podziemnym dostępne za dodatkową opłatą 25 000 zł.
Komórka lokatorska w cenie mieszkania.

Atuty Nieruchomości:

Nowoczesność: Budynek powstał w 2023 roku, gwarantując najnowsze standardy budowlane.
Wyremontowane i w pełni wyposażone: Mieszkanie gotowe do wprowadzenia, bez konieczności dodatkowych nakładów finansowych.
Bliskość natury: Okolica sprzyjająca aktywnemu wypoczynkowi, z dala od zgiełku miejskiego.
Dogodna lokalizacja: Łatwy dostęp do Warszawy, jednocześnie ciesząc się spokojem i urokami Nowego Kazunia.

Podana cena jest już ceną brutto (z VATem), zakup nieruchomości od spółki.
Nie przegap tej wyjątkowej okazji! Skontaktuj się z nami już dziś, aby umówić się na indywidualną prezentację tego wyjątkowego mieszkania.","2","pełna własność","https://otodom.pl/pl/oferta/wykonczone-mieszkanie-gotowe-do-zamieszkania-ID4p7BD","true","4p7BD"
"2024-02-20","Mieszkanie 4-pokojowe,blisko jeziora na I piętrze.","330000","market,secondary","56.51","ul. Reinholda Barcza, Szczytno, szczycieński, warmińsko-mazurskie","null","null","agency","Jeśli szukają Państwo idealnej nieruchomości, zapewniającej poczucie przestrzeni i możliwości własnej aranżacji to ta oferta posiada ogromny potencjał i sprawdzi się idealnie.Oferuję na sprzedaż mieszkanie blisko jeziora przy ul. Reinholda Barcza  w Szczytnie. Nieruchomość może idealnie sprawdzić się pod wynajem jak również jest to rewelacyjne miejsce do życia dla rodziny.Informacje o mieszkaniu:Mieszkanie o powierzchni 56,51 m2Znajduje się na I piętrze.Mieszkanie 4 pokojowe.Do mieszkania przynależy piwnica.Lokalizacja:Lokalizacja prezentowanej nieruchomości zaspokoi potrzeby codziennego życia. Po sąsiedzku pełne zaplecze handlowo-usługowe. Centrum miasta na wyciągnięcie ręki. Ogromną zaletą dla osób ceniących relaks na świeżym powietrzu jest bliskość natury, parku, jezior , plaża miejska i ścieżki rowerowe. Świetna lokalizacja przy jeziorze Domowym Małym.Stan mieszkania:Mieszkanie posiada trzy sypialnie i salon z balkonem, a z kuchennego okna widok na jezioro. Mieszkanie jest rozkładowe, gwarantuje prywatność każdemu z domowników. Mieszkanie nie wymaga nakładów i jest gotowe do zamieszkania, ale również stwarza doskonałą możliwość aranżacji według własnego pomysłu do swoich potrzeb. Na podłogach w pokojach znajduje się panele, salon - parkiet, natomiast w kuchni, przedpokój i łazience płytki.Informacje o budynku:Budynkiem zarządza TBS.Budynek został wybudowany w 1968 roku.Budynek ocieplony.Klatka schodowa jest wyremontowana.Stan prawny:Forma własności: odrębna własność z założoną Księgą Wieczystą.Opłaty : czynsz ok. 1065 złZapraszam do umówienia się na prezentację.Możliwość zakupu na kredyt hipoteczny i pomoc doradcy kredytowego w uzyskaniu kredytu.Urszula MerchelDoradca ds. NieruchomościPROPERTONTel: 500 350 957Informacje dotyczące opisu nieruchomości podane są przez właściciela, mają charakter wyłącznie informacyjny i mogą podlegać aktualizacji. Oferta dotycząca nieruchomości stanowi zaproszenie do rokowań zgodnie z art. 71 Kodeksu Cywilnego i nie stanowi oferty określonej w art. 66 i następnych KC.","4","pełna własność","https://otodom.pl/pl/oferta/mieszkanie-4-pokojowe-blisko-jeziora-na-i-pietrze-ID4paZL","true","4paZL"
"2024-02-20","4 pokoje, 81 m2, w super lokalizacji","688000","market,secondary","81","ul. Niepodległości, Gorzów Wielkopolski, lubuskie","null","null","private","Sprzedaż bez pośredników, bez prowizjiSprzedam 4 pokojowe mieszkanie przy ul. Niepodległości (100 m od małej SP 13), na 3 ostatnim piętrze (1 sąsiad).Mieszkanie na jednym poziomie składające się z salonu połączonego z otwartą kuchnią, 2 łazienkami ( 2x WC) oraz 3 sypialniami. Z salonu i sypialni wyjście na dwa oddzielne balkony.Do mieszkania przynależy piwnica o powierzchni 2,57 m2.Użytkujemy mieszkanie od 6 lat. W tym czasie wymieniono wszystkie podłogi, drzwi, wyremontowano łazienkę, wymieniono płytki na balkonach, zamontowano klimatyzację w salonie i sypialni. 3 lata temu przeprowadzono remont kuchni. Mieszkanie wyposażone jest w 3 wysokiej jakości szafy w zabudowie. Wszystkie okna posiadają rolety zewnętrzne oraz moskitiery. Mieszkanie jest bardzo zadbane. Świetna lokalizacja (liczne sklepy, szkoła oraz komunikacja miejska).
CENA DO NEGOCJACJI Możliwość zakupu garażu w bryle budynku o powierzchni 18 m2 w cenie 90 000 zł.Biurom pośrednictwa dziękujemy.","4","pełna własność","https://otodom.pl/pl/oferta/4-pokoje-81-m2-w-super-lokalizacji-ID4oQHS","true","4oQHS"
"2024-02-20","Sprzedam Mieszkanie ul. Kwiatowa-Lubin","390000","market,primary","40.18","ul. Kwiatowa, Lubin, lubiński, dolnośląskie","null","null","private","Oferta od właściciela- bez Pośredników.

Sprzedam mieszkanie w super lokalizacji przy ulicy Kwiatowej, znajdujące się na wysokim parterze z windą w nowym 4 piętrowym bloku. Nieruchomość o powierzchni 40,18m2 składające się z sypialni, łazienki i salonu z aneksem kuchennym oraz dużego tarasu ponad 20m2.
Dodatkowo do mieszkania przynależy komórka lokatorska 1,58 m2 
Na osiedlu znajduję się ogrodzony plac zabaw dla dzieci.

W pobliżu Park Leśny idealnie na spacery i odpoczynek.
Lidl, Biedronka, Przychodnia Medicus, przystanki komunikacji miejskiej.
Opłaty stałe około 400 zł (w tym ogrzewanie miejskie, ciepła woda miejska, eksploatacja, części wspólne, domofon winda).
Dodatkowo media wg zużycia tj. zimna woda, prąd i śmieci. Mieszkanie sprzedawane w stanie deweloperskim

Kupujący zwolniony z podatku PCC 2%
Wystawiam fakturę VAT

Cena sprzedaży: 390 tys zł","2","pełna własność","https://otodom.pl/pl/oferta/sprzedam-mieszkanie-ul-kwiatowa-lubin-ID4oYh5","true","4oYh5"
